gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,13,Month-to-month,Fiber optic,Bank transfer (automatic),No,92.01,1244.97,Yes
Female,1,Yes,No,26,Month-to-month,DSL,Electronic check,Yes,51.04,1249.79,Yes
Female,0,No,Yes,51,Month-to-month,DSL,Mailed check,Yes,70.74,3583.73,No
Male,0,Yes,No,3,Two year,No,Credit card (automatic),No,18.0,39.18,No
Male,0,Yes,No,66,Month-to-month,Fiber optic,Bank transfer (automatic),No,83.82,5540.39,No
Female,0,Yes,No,12,Month-to-month,DSL,Credit card (automatic),Yes,59.59,716.86,No
Male,0,Yes,No,57,Month-to-month,DSL,Credit card (automatic),No,65.77,3772.09,No
Female,0,Yes,No,45,Two year,No,Mailed check,No,22.63,1012.44,No
Male,0,No,No,61,One year,Fiber optic,Credit card (automatic),Yes,61.4,3813.95,No
Male,0,Yes,No,56,Month-to-month,Fiber optic,Credit card (automatic),No,87.06,4959.66,No
Female,0,No,No,37,Two year,DSL,Bank transfer (automatic),Yes,66.32,2397.84,No
Female,0,No,No,55,Month-to-month,DSL,Credit card (automatic),Yes,72.09,3967.18,No
Female,0,No,Yes,25,Two year,No,Bank transfer (automatic),Yes,30.7,807.33,No
Female,0,Yes,No,42,Month-to-month,No,Credit card (automatic),No,44.31,1890.21,No
Female,1,Yes,No,66,Month-to-month,Fiber optic,Electronic check,Yes,90.83,5974.34,No
Female,0,Yes,No,6,Month-to-month,No,Mailed check,Yes,50.87,317.96,Yes
Female,0,Yes,No,25,Two year,Fiber optic,Mailed check,Yes,84.34,2029.21,No
Male,1,Yes,No,1,Two year,No,Electronic check,Yes,18.0,17.04,No
Female,0,No,No,39,One year,DSL,Bank transfer (automatic),No,59.19,2235.32,No
Male,0,Yes,Yes,57,Month-to-month,Fiber optic,Electronic check,Yes,86.06,4930.9,No
Female,0,Yes,Yes,2,Month-to-month,No,Electronic check,Yes,41.22,26.64,Yes
Male,0,Yes,No,40,Month-to-month,No,Credit card (automatic),No,18.0,728.15,No
Male,1,No,No,30,Month-to-month,Fiber optic,Electronic check,Yes,81.26,2453.62,Yes
Female,0,No,Yes,57,Month-to-month,Fiber optic,Credit card (automatic),Yes,95.42,5442.58,No
Female,0,No,Yes,16,One year,No,Electronic check,No,33.75,508.42,No
Female,0,No,Yes,11,One year,Fiber optic,Mailed check,No,81.33,884.12,No
Male,0,No,No,6,Two year,DSL,Electronic check,Yes,82.88,556.31,Yes
Female,0,No,No,29,Month-to-month,Fiber optic,Electronic check,No,72.16,2071.41,Yes
Female,0,Yes,No,35,Month-to-month,Fiber optic,Credit card (automatic),No,99.8,3494.0,No
Male,0,No,Yes,67,Month-to-month,Fiber optic,Electronic check,No,97.25,6488.25,No
Male,0,No,Yes,34,Month-to-month,No,Credit card (automatic),Yes,32.3,1149.15,No
Male,0,Yes,Yes,12,One year,Fiber optic,Bank transfer (automatic),No,84.61,1019.16,No
Male,0,No,No,51,One year,DSL,Mailed check,Yes,59.56,2999.49,No
Female,0,No,Yes,4,Month-to-month,DSL,Credit card (automatic),No,62.18,249.09,Yes
Female,0,No,No,25,Month-to-month,No,Mailed check,No,27.87,684.59,No
Male,0,Yes,No,47,Two year,DSL,Mailed check,No,54.86,2648.15,No
Female,0,No,No,18,Month-to-month,No,Mailed check,No,30.74,551.04,No
Female,0,No,No,43,Month-to-month,DSL,Bank transfer (automatic),Yes,56.12,2344.04,No
Male,0,Yes,Yes,33,One year,Fiber optic,Credit card (automatic),Yes,81.27,2706.87,No
Female,0,Yes,Yes,69,One year,No,Bank transfer (automatic),Yes,18.0,1331.3,No
Male,0,Yes,No,20,Month-to-month,Fiber optic,Mailed check,Yes,86.17,1783.28,No
Female,0,Yes,No,66,Two year,No,Credit card (automatic),No,28.67,1837.1,No
Female,0,No,No,45,Two year,DSL,Bank transfer (automatic),No,37.6,1678.49,No
Male,0,No,No,54,Month-to-month,Fiber optic,Credit card (automatic),Yes,80.8,4361.63,No
Male,0,Yes,No,12,Month-to-month,Fiber optic,Mailed check,Yes,80.43,964.21,Yes
Female,0,Yes,No,1,One year,No,Electronic check,No,50.3,69.35,No
Male,0,No,No,53,One year,DSL,Credit card (automatic),No,53.53,2819.84,No
Female,0,Yes,Yes,35,Month-to-month,DSL,Bank transfer (automatic),Yes,68.01,2334.69,No
Female,0,No,Yes,22,Month-to-month,Fiber optic,Mailed check,Yes,101.59,2282.65,No
Female,0,Yes,Yes,65,One year,No,Credit card (automatic),Yes,27.46,1728.93,No
Female,0,Yes,No,23,Month-to-month,No,Electronic check,No,34.43,751.78,No
Male,0,No,No,31,Month-to-month,No,Credit card (automatic),Yes,55.74,1671.58,No
Male,0,Yes,Yes,52,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,87.75,4593.49,No
Male,0,No,Yes,70,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,89.48,6269.27,No
Male,0,Yes,No,65,Two year,No,Electronic check,Yes,30.11,2001.52,No
Male,0,No,No,47,One year,No,Electronic check,Yes,43.24,1993.24,No
Female,1,No,Yes,8,Month-to-month,No,Bank transfer (automatic),Yes,34.52,213.54,Yes
Male,0,No,No,7,Two year,No,Bank transfer (automatic),No,18.0,103.8,No
Female,0,Yes,No,50,Month-to-month,No,Electronic check,No,30.74,1527.74,No
Female,1,No,No,37,Month-to-month,DSL,Bank transfer (automatic),Yes,45.8,1705.12,No
Female,1,No,No,9,Month-to-month,DSL,Bank transfer (automatic),Yes,61.35,468.0,No
Female,0,Yes,Yes,50,One year,No,Mailed check,No,24.0,1223.83,No
Male,1,Yes,Yes,68,One year,Fiber optic,Bank transfer (automatic),Yes,90.74,6125.44,No
Female,1,No,No,4,Two year,DSL,Credit card (automatic),Yes,60.54,209.78,No
Male,0,Yes,Yes,60,Month-to-month,Fiber optic,Mailed check,Yes,70.02,4260.12,Yes
Male,0,No,No,25,Month-to-month,Fiber optic,Electronic check,No,79.09,1868.08,No
Female,0,No,Yes,29,Month-to-month,No,Credit card (automatic),No,42.45,1247.08,Yes
Male,0,Yes,No,52,Two year,No,Credit card (automatic),Yes,48.78,2552.28,No
Male,0,No,No,18,Month-to-month,DSL,Mailed check,No,49.17,844.14,No
Male,0,No,No,11,One year,Fiber optic,Mailed check,No,71.83,767.79,No
Female,0,Yes,No,70,One year,DSL,Credit card (automatic),No,83.41,5899.88,No
Male,0,No,No,25,Month-to-month,No,Electronic check,No,34.88,970.22,No
Male,0,Yes,Yes,12,Month-to-month,DSL,Mailed check,No,61.1,786.41,No
Male,0,Yes,No,50,Month-to-month,Fiber optic,Bank transfer (automatic),No,76.13,3900.66,No
Female,0,No,Yes,15,One year,Fiber optic,Bank transfer (automatic),No,87.58,1279.17,No
Male,0,Yes,No,56,Two year,Fiber optic,Bank transfer (automatic),Yes,105.58,5833.54,No
Male,0,No,No,5,Month-to-month,Fiber optic,Mailed check,No,88.05,437.63,Yes
Male,1,Yes,Yes,37,Two year,Fiber optic,Credit card (automatic),No,97.78,3658.09,No
Female,1,No,Yes,29,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,85.35,2382.35,Yes
Female,1,Yes,No,69,Month-to-month,DSL,Bank transfer (automatic),Yes,47.69,3244.31,No
Female,1,No,Yes,38,Two year,Fiber optic,Credit card (automatic),Yes,76.8,2877.67,No
Male,0,No,No,67,Two year,Fiber optic,Electronic check,Yes,71.59,4814.12,No
Male,0,No,Yes,18,Month-to-month,DSL,Bank transfer (automatic),Yes,62.61,1138.42,Yes
Female,0,No,No,34,One year,Fiber optic,Credit card (automatic),Yes,99.69,3350.59,No
Female,0,No,No,59,Two year,DSL,Bank transfer (automatic),Yes,61.93,3662.99,No
Female,1,No,No,11,One year,No,Bank transfer (automatic),No,31.31,287.13,No
Male,0,No,Yes,67,One year,DSL,Mailed check,Yes,50.52,3363.81,No
Male,0,No,No,56,Month-to-month,Fiber optic,Mailed check,Yes,89.27,4935.62,No
Female,0,No,No,49,Month-to-month,DSL,Bank transfer (automatic),Yes,45.14,2204.47,No
Female,0,No,No,17,One year,Fiber optic,Credit card (automatic),Yes,71.39,1173.62,No
Male,0,Yes,No,59,Month-to-month,DSL,Mailed check,Yes,70.8,4211.83,No
Female,0,No,No,61,Month-to-month,Fiber optic,Electronic check,No,81.67,4980.39,No
Female,1,No,No,21,Month-to-month,DSL,Mailed check,Yes,56.43,1173.7,No
Male,0,Yes,No,42,Month-to-month,No,Electronic check,Yes,32.97,1473.2,Yes
Female,0,Yes,No,4,Month-to-month,Fiber optic,Credit card (automatic),Yes,93.71,394.01,Yes
Male,0,No,No,28,Month-to-month,No,Bank transfer (automatic),No,36.99,1017.2,No
Male,0,Yes,Yes,10,Month-to-month,Fiber optic,Electronic check,Yes,76.08,731.64,Yes
Female,0,Yes,No,40,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,76.51,3001.54,No
Female,0,Yes,No,40,Two year,No,Bank transfer (automatic),Yes,32.66,1303.05,No
Male,0,Yes,No,38,One year,DSL,Bank transfer (automatic),Yes,63.63,2433.19,No
Female,1,No,No,49,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,84.57,4048.4,No
Male,0,No,No,67,Month-to-month,Fiber optic,Credit card (automatic),No,83.51,5526.71,No
Female,0,No,No,14,Month-to-month,Fiber optic,Credit card (automatic),No,85.56,1171.97,Yes
Male,0,No,No,15,One year,DSL,Mailed check,Yes,59.57,838.57,No
Female,0,No,No,15,One year,Fiber optic,Electronic check,Yes,75.64,1136.69,No
Female,0,Yes,No,67,One year,Fiber optic,Credit card (automatic),Yes,98.28,6594.18,No
Female,1,No,No,6,One year,Fiber optic,Bank transfer (automatic),No,79.21,469.16,No
Female,0,Yes,Yes,2,Month-to-month,DSL,Electronic check,No,61.55,150.61,Yes
Male,0,Yes,No,11,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,60.28,633.79,Yes
Female,0,No,No,56,Month-to-month,No,Electronic check,Yes,32.42,1813.11,No
Male,0,No,No,42,Month-to-month,DSL,Electronic check,Yes,46.8,1915.64,No
Female,0,Yes,No,67,Month-to-month,Fiber optic,Electronic check,No,73.25,4922.1,Yes
Female,0,No,No,14,One year,No,Mailed check,Yes,64.07,900.72,No
Male,0,Yes,No,28,Month-to-month,No,Electronic check,Yes,37.99,1003.91,No
Female,0,Yes,No,40,One year,DSL,Credit card (automatic),Yes,74.71,2980.74,No
Female,0,Yes,No,5,Month-to-month,Fiber optic,Mailed check,Yes,95.26,474.43,Yes
Male,0,Yes,Yes,67,Month-to-month,DSL,Bank transfer (automatic),No,71.8,4824.58,No
Male,0,No,No,58,One year,No,Credit card (automatic),Yes,32.61,1907.35,No
Male,1,Yes,No,10,Month-to-month,Fiber optic,Credit card (automatic),Yes,104.28,1006.71,Yes
Male,0,No,No,61,Month-to-month,Fiber optic,Credit card (automatic),No,95.16,5842.96,No
Male,0,Yes,No,32,Month-to-month,DSL,Electronic check,No,60.5,1962.03,Yes
Female,0,No,No,24,One year,Fiber optic,Bank transfer (automatic),No,88.16,2079.6,No
Female,0,No,Yes,69,Month-to-month,DSL,Credit card (automatic),No,58.36,3969.65,No
Male,0,No,Yes,37,Two year,No,Electronic check,Yes,35.63,1285.79,No
Female,0,Yes,No,16,Two year,Fiber optic,Credit card (automatic),Yes,84.48,1278.05,No
Female,0,No,Yes,59,Two year,Fiber optic,Credit card (automatic),Yes,89.58,5295.53,No
Male,0,No,No,52,Month-to-month,No,Credit card (automatic),No,55.88,2964.92,No
Female,0,Yes,No,14,One year,DSL,Mailed check,No,45.54,708.6,No
Female,0,Yes,Yes,49,Month-to-month,DSL,Electronic check,Yes,73.71,3557.24,No
Female,0,Yes,No,45,Two year,Fiber optic,Bank transfer (automatic),No,80.58,3665.49,No
Female,0,Yes,No,20,Month-to-month,No,Bank transfer (automatic),No,50.24,1008.94,No
Female,1,Yes,No,31,Month-to-month,DSL,Bank transfer (automatic),No,56.0,1616.16,No
Male,0,Yes,No,61,Month-to-month,No,Mailed check,Yes,39.95,2420.52,No
Female,0,Yes,No,12,Two year,Fiber optic,Electronic check,Yes,83.09,974.94,No
Female,1,No,Yes,52,Two year,Fiber optic,Credit card (automatic),No,64.23,3400.65,No
Male,0,Yes,Yes,60,Month-to-month,Fiber optic,Bank transfer (automatic),No,105.87,6308.52,No
Female,0,Yes,No,68,Month-to-month,DSL,Credit card (automatic),No,48.69,3338.87,No
Male,1,No,No,23,One year,DSL,Credit card (automatic),No,61.01,1397.8,No
Male,0,Yes,No,19,Two year,Fiber optic,Mailed check,Yes,72.37,1302.76,No
Male,0,Yes,No,68,One year,Fiber optic,Mailed check,No,68.96,4661.4,No
Female,0,Yes,Yes,33,Month-to-month,Fiber optic,Credit card (automatic),Yes,82.54,2800.43,Yes
Male,0,Yes,No,41,One year,No,Bank transfer (automatic),Yes,27.88,1134.32,No
Male,0,Yes,No,37,Two year,DSL,Bank transfer (automatic),Yes,45.97,1746.34,No
Male,0,Yes,No,37,Month-to-month,Fiber optic,Credit card (automatic),Yes,84.57,3171.82,No
Female,0,Yes,No,45,Month-to-month,Fiber optic,Electronic check,Yes,67.22,3002.36,Yes
Female,0,No,Yes,30,Month-to-month,DSL,Mailed check,No,61.51,1781.0,No
Male,0,No,Yes,28,Month-to-month,No,Electronic check,No,33.47,879.63,No
Male,0,Yes,No,29,One year,No,Mailed check,Yes,18.0,594.58,No
Female,1,Yes,No,47,Month-to-month,DSL,Mailed check,Yes,53.72,2532.55,No
Male,0,Yes,No,59,Month-to-month,No,Mailed check,Yes,40.62,2309.94,No
Female,0,No,No,40,Month-to-month,DSL,Electronic check,Yes,47.24,1931.2,Yes
Male,0,No,Yes,49,Two year,No,Credit card (automatic),Yes,41.14,1926.59,No
Female,0,Yes,No,30,Two year,No,Mailed check,Yes,40.19,1164.46,No
Male,0,Yes,Yes,56,Month-to-month,DSL,Mailed check,No,47.79,2680.16,No
Male,1,Yes,Yes,28,One year,Fiber optic,Credit card (automatic),Yes,84.85,2501.89,Yes
Female,0,No,No,30,Month-to-month,No,Mailed check,No,44.9,1387.8,No
Male,0,No,No,4,Two year,DSL,Credit card (automatic),No,49.48,173.81,No
Female,1,Yes,No,19,One year,Fiber optic,Electronic check,Yes,82.53,1569.49,Yes
Female,0,No,Yes,53,Month-to-month,Fiber optic,Credit card (automatic),Yes,98.8,5282.54,No
Female,0,Yes,No,6,Two year,DSL,Credit card (automatic),Yes,49.71,369.34,No
Female,0,No,No,16,Month-to-month,DSL,Credit card (automatic),Yes,65.51,1035.78,Yes
Female,0,No,No,56,One year,DSL,Credit card (automatic),No,47.05,2623.85,No
Male,0,Yes,No,63,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,83.07,5191.81,Yes
Male,0,Yes,No,30,One year,Fiber optic,Bank transfer (automatic),Yes,90.36,2744.08,No
Male,1,No,Yes,29,Month-to-month,Fiber optic,Credit card (automatic),Yes,56.15,1679.52,No
Female,1,Yes,No,37,Month-to-month,DSL,Credit card (automatic),Yes,53.59,1885.83,No
Male,1,No,No,56,Month-to-month,DSL,Bank transfer (automatic),No,65.15,3628.67,No
Male,0,Yes,No,34,Two year,Fiber optic,Bank transfer (automatic),Yes,87.71,2921.47,No
Male,0,No,No,12,Month-to-month,DSL,Electronic check,No,53.73,652.32,No
Male,1,Yes,No,31,One year,Fiber optic,Credit card (automatic),Yes,71.75,2162.2,Yes
Male,0,Yes,No,18,Month-to-month,Fiber optic,Credit card (automatic),Yes,92.54,1599.74,Yes
Male,0,Yes,Yes,49,Two year,Fiber optic,Electronic check,Yes,81.13,4031.6,No
Female,0,Yes,No,10,Month-to-month,Fiber optic,Mailed check,No,91.54,907.16,Yes
Female,0,Yes,No,44,One year,No,Electronic check,Yes,39.56,1737.76,No
Female,0,No,No,9,Two year,DSL,Mailed check,No,54.63,513.26,No
Male,1,Yes,No,70,Month-to-month,No,Credit card (automatic),Yes,47.87,3399.49,No
Female,0,Yes,Yes,46,Month-to-month,DSL,Mailed check,No,52.87,2411.03,No
Male,0,Yes,No,10,Two year,DSL,Mailed check,Yes,74.29,723.04,No
Female,1,Yes,No,69,Month-to-month,Fiber optic,Credit card (automatic),No,100.86,6939.43,Yes
Female,0,No,No,41,Month-to-month,DSL,Mailed check,Yes,72.6,3030.73,No
Female,0,No,No,44,Month-to-month,Fiber optic,Credit card (automatic),Yes,82.83,3641.26,No
Male,0,Yes,No,4,Two year,No,Credit card (automatic),No,65.56,247.7,No
Male,0,No,No,13,Two year,No,Mailed check,Yes,36.82,498.23,No
Female,0,No,No,58,One year,Fiber optic,Bank transfer (automatic),Yes,87.89,5189.34,No
Male,0,No,Yes,34,One year,No,Mailed check,Yes,34.74,1184.71,No
Male,0,Yes,No,44,Month-to-month,Fiber optic,Mailed check,Yes,71.44,3130.01,Yes
Male,0,Yes,No,72,Month-to-month,DSL,Credit card (automatic),Yes,75.54,5536.09,No
Male,0,Yes,No,31,Month-to-month,No,Mailed check,Yes,28.13,938.56,No
Male,0,No,No,27,Month-to-month,DSL,Electronic check,Yes,71.04,1977.2,Yes
Male,0,No,No,58,Month-to-month,DSL,Mailed check,Yes,73.91,4262.01,No
Female,0,Yes,Yes,4,One year,DSL,Bank transfer (automatic),No,67.24,238.97,No
Female,1,Yes,No,33,Month-to-month,DSL,Electronic check,No,51.7,1614.27,No
Female,0,No,No,62,Month-to-month,DSL,Bank transfer (automatic),No,55.91,3514.48,No
Male,0,No,Yes,16,Month-to-month,DSL,Electronic check,Yes,27.88,449.85,No
Female,0,Yes,Yes,22,Month-to-month,Fiber optic,Electronic check,No,83.6,1749.21,Yes
Male,0,No,No,34,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,94.63,3277.6,Yes
Male,0,Yes,No,5,Month-to-month,No,Electronic check,No,32.15,143.88,Yes
Male,0,Yes,No,5,Month-to-month,DSL,Credit card (automatic),Yes,52.92,253.89,Yes
Male,1,No,Yes,18,Month-to-month,DSL,Electronic check,Yes,56.43,940.04,Yes
Female,0,No,No,65,One year,Fiber optic,Mailed check,No,99.58,6497.6,No
Male,1,No,Yes,16,Two year,DSL,Electronic check,Yes,59.35,974.65,No
Female,1,Yes,No,53,One year,Fiber optic,Mailed check,No,107.29,5684.24,No
Male,0,Yes,No,31,One year,Fiber optic,Credit card (automatic),No,78.15,2401.78,No
Female,0,Yes,No,55,Two year,No,Bank transfer (automatic),Yes,37.61,2199.7,No
Male,0,Yes,No,24,Month-to-month,DSL,Bank transfer (automatic),Yes,54.8,1255.01,No
Male,1,Yes,No,63,One year,Fiber optic,Electronic check,No,109.89,6887.24,Yes
Female,0,Yes,Yes,27,Month-to-month,Fiber optic,Mailed check,No,87.16,2388.64,No
Female,0,Yes,No,57,Month-to-month,No,Mailed check,No,60.54,3399.88,No
Male,1,Yes,No,60,Month-to-month,DSL,Bank transfer (automatic),Yes,54.96,3243.1,No
Female,0,Yes,No,31,Month-to-month,Fiber optic,Electronic check,No,103.33,3259.84,No
Male,0,No,No,48,Two year,Fiber optic,Credit card (automatic),Yes,86.42,4178.23,No
Female,0,Yes,No,8,Month-to-month,DSL,Bank transfer (automatic),Yes,70.04,584.53,Yes
Female,1,No,No,36,One year,Fiber optic,Mailed check,No,70.36,2542.18,No
Male,1,No,Yes,27,Two year,Fiber optic,Electronic check,Yes,89.18,2373.28,No
Female,0,No,Yes,69,Month-to-month,DSL,Bank transfer (automatic),Yes,47.17,3242.13,No
Male,0,Yes,Yes,68,Month-to-month,Fiber optic,Mailed check,Yes,88.09,5985.84,No
Male,0,Yes,No,57,Month-to-month,Fiber optic,Bank transfer (automatic),No,66.78,3848.73,No
Male,0,No,No,69,Month-to-month,Fiber optic,Bank transfer (automatic),No,83.87,5808.39,No
Male,0,No,No,71,Two year,DSL,Bank transfer (automatic),No,73.15,5147.07,No
Female,0,Yes,No,56,One year,Fiber optic,Credit card (automatic),Yes,91.57,5167.43,No
Male,0,Yes,Yes,43,One year,DSL,Bank transfer (automatic),Yes,45.19,1859.36,No
Male,0,No,No,14,Month-to-month,Fiber optic,Bank transfer (automatic),No,62.22,855.05,Yes
Female,0,Yes,Yes,59,One year,Fiber optic,Mailed check,Yes,90.96,5309.73,No
